Data Table for Daily Case Trends - Arkansas
Date generated: Tue Nov 16 2021 20:14:12 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,7-Day Avg People Fully Vaccinated
Arkansas,Nov 15 2021,151,503,740
Arkansas,Nov 14 2021,307,502,912
Arkansas,Nov 13 2021,590,496,935
Arkansas,Nov 12 2021,515,477,947
Arkansas,Nov 11 2021,673,483,1032
Arkansas,Nov 10 2021,675,448,1080
Arkansas,Nov  9 2021,614,429,1106
Arkansas,Nov  8 2021,141,433,1137
Arkansas,Nov  7 2021,266,432,1152
Arkansas,Nov  6 2021,455,426,1153
Arkansas,Nov  5 2021,557,427,1164
Arkansas,Nov  4 2021,428,426,1207
Arkansas,Nov  3 2021,546,438,1271
Arkansas,Nov  2 2021,641,440,1309
Arkansas,Nov  1 2021,137,420,1356
Arkansas,Oct 31 2021,221,424,1410
Arkansas,Oct 30 2021,464,427,1411
Arkansas,Oct 29 2021,546,424,1416
Arkansas,Oct 28 2021,517,435,1407
Arkansas,Oct 27 2021,559,433,1351
Arkansas,Oct 26 2021,502,449,1317
Arkansas,Oct 25 2021,161,472,1278
Arkansas,Oct 24 2021,246,469,1249
Arkansas,Oct 23 2021,440,489,1253
Arkansas,Oct 22 2021,622,506,1255
Arkansas,Oct 21 2021,506,520,1286
Arkansas,Oct 20 2021,672,559,1320
Arkansas,Oct 19 2021,661,562,1364
Arkansas,Oct 18 2021,142,572,1419
Arkansas,Oct 17 2021,383,583,1441
Arkansas,Oct 16 2021,562,595,1454
Arkansas,Oct 15 2021,714,641,1469
Arkansas,Oct 14 2021,781,645,1549
Arkansas,Oct 13 2021,694,661,1607
Arkansas,Oct 12 2021,733,688,1676
Arkansas,Oct 11 2021,217,690,1720
Arkansas,Oct 10 2021,467,687,1776
Arkansas,Oct  9 2021,887,689,1802
Arkansas,Oct  8 2021,739,654,1872
Arkansas,Oct  7 2021,893,671,1968
Arkansas,Oct  6 2021,882,687,2040
Arkansas,Oct  5 2021,747,726,2133
Arkansas,Oct  4 2021,195,733,2232
Arkansas,Oct  3 2021,486,773,2266
Arkansas,Oct  2 2021,642,763,2281
Arkansas,Oct  1 2021,857,816,2304
Arkansas,Sep 30 2021,1004,888,2388
Arkansas,Sep 29 2021,1153,965,2406
Arkansas,Sep 28 2021,800,1009,2384
Arkansas,Sep 27 2021,470,1095,2449
Arkansas,Sep 26 2021,417,1109,2602
Arkansas,Sep 25 2021,1012,1130,2641
Arkansas,Sep 24 2021,1365,1211,2698
Arkansas,Sep 23 2021,1540,1274,2888
Arkansas,Sep 22 2021,1463,1315,3071
Arkansas,Sep 21 2021,1401,1380,3280
Arkansas,Sep 20 2021,568,1400,3402
Arkansas,Sep 19 2021,567,1411,3516
Arkansas,Sep 18 2021,1574,1490,3546
Arkansas,Sep 17 2021,1809,1515,3631
Arkansas,Sep 16 2021,1824,1565,3812
Arkansas,Sep 15 2021,1919,1659,3897
Arkansas,Sep 14 2021,1544,1696,4025
Arkansas,Sep 13 2021,646,1559,4334
Arkansas,Sep 12 2021,1116,1600,3877
Arkansas,Sep 11 2021,1749,1594,3901
Arkansas,Sep 10 2021,2159,1681,3939
Arkansas,Sep  9 2021,2481,1677,4139
Arkansas,Sep  8 2021,2181,1673,4323
Arkansas,Sep  7 2021,583,1774,4439
Arkansas,Sep  6 2021,937,2066,4408
Arkansas,Sep  5 2021,1072,2058,5231
Arkansas,Sep  4 2021,2360,2018,5312
Arkansas,Sep  3 2021,2129,1990,5442
Arkansas,Sep  2 2021,2453,2095,5756
Arkansas,Sep  1 2021,2890,2076,5814
Arkansas,Aug 31 2021,2626,2060,5865
Arkansas,Aug 30 2021,882,2003,5925
Arkansas,Aug 29 2021,787,2018,5921
Arkansas,Aug 28 2021,2166,2081,5902
Arkansas,Aug 27 2021,2866,2131,5929
Arkansas,Aug 26 2021,2318,2066,6063
Arkansas,Aug 25 2021,2781,2242,6184
Arkansas,Aug 24 2021,2223,2228,6204
Arkansas,Aug 23 2021,986,2225,6182
Arkansas,Aug 22 2021,1229,2207,6127
Arkansas,Aug 21 2021,2520,2248,6131
Arkansas,Aug 20 2021,2407,2190,6007
Arkansas,Aug 19 2021,3549,2278,5672
Arkansas,Aug 18 2021,2685,2102,5576
Arkansas,Aug 17 2021,2203,2139,5442
Arkansas,Aug 16 2021,856,2198,5266
Arkansas,Aug 15 2021,1517,2218,5103
Arkansas,Aug 14 2021,2117,2197,5020
Arkansas,Aug 13 2021,3023,2271,4903
Arkansas,Aug 12 2021,2318,2273,4482
Arkansas,Aug 11 2021,2940,2338,4188
Arkansas,Aug 10 2021,2620,2324,3927
Arkansas,Aug  9 2021,995,2284,3693
Arkansas,Aug  8 2021,1369,2263,3387
Arkansas,Aug  7 2021,2633,2350,3320
Arkansas,Aug  6 2021,3037,2166,3248
Arkansas,Aug  5 2021,2777,2095,2994
Arkansas,Aug  4 2021,2838,2105,2771
Arkansas,Aug  3 2021,2343,1942,2663
Arkansas,Aug  2 2021,844,1901,2567
Arkansas,Aug  1 2021,1984,1869,2452
Arkansas,Jul 31 2021,1339,1732,2405
Arkansas,Jul 30 2021,2544,1828,2329
Arkansas,Jul 29 2021,2843,1749,2241
Arkansas,Jul 28 2021,1703,1608,2213
Arkansas,Jul 27 2021,2052,1573,2181
Arkansas,Jul 26 2021,621,1548,2118
Arkansas,Jul 25 2021,1022,1581,2143
Arkansas,Jul 24 2021,2015,1556,2151
Arkansas,Jul 23 2021,1987,1390,2133
Arkansas,Jul 22 2021,1860,1298,2070
Arkansas,Jul 21 2021,1459,1172,2034
Arkansas,Jul 20 2021,1875,1151,1984
Arkansas,Jul 19 2021,852,1094,1948
Arkansas,Jul 18 2021,850,1068,1911
Arkansas,Jul 17 2021,850,1042,1907
Arkansas,Jul 16 2021,1342,1017,1908
Arkansas,Jul 15 2021,980,990,1876
Arkansas,Jul 14 2021,1309,1023,1843
Arkansas,Jul 13 2021,1476,979,1826
Arkansas,Jul 12 2021,671,806,1865
Arkansas,Jul 11 2021,671,770,1730
Arkansas,Jul 10 2021,671,734,1687
Arkansas,Jul  9 2021,1155,697,1676
Arkansas,Jul  8 2021,1210,602,1629
Arkansas,Jul  7 2021,1000,530,1647
Arkansas,Jul  6 2021,270,485,1652
Arkansas,Jul  5 2021,418,515,1637
Arkansas,Jul  4 2021,414,501,1782
Arkansas,Jul  3 2021,414,488,1838
Arkansas,Jul  2 2021,494,475,1870
