Data Table for Daily Case Trends - California
Date generated: Tue Nov 16 2021 20:26:26 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,7-Day Avg People Fully Vaccinated
California,Nov 14 2021,0,6753,20444
California,Nov 13 2021,11996,6753,21851
California,Nov 12 2021,0,5040,22851
California,Nov 11 2021,8727,6184,23754
California,Nov 10 2021,3716,6325,24569
California,Nov  9 2021,3945,6297,25013
California,Nov  8 2021,18893,6334,25454
California,Nov  7 2021,0,6400,25779
California,Nov  6 2021,0,6400,25793
California,Nov  5 2021,8012,6400,25912
California,Nov  4 2021,9711,6269,25905
California,Nov  3 2021,3518,6135,26041
California,Nov  2 2021,4209,6258,26069
California,Nov  1 2021,19351,9165,26150
California,Oct 31 2021,0,6401,25920
California,Oct 30 2021,0,6401,25894
California,Oct 29 2021,7098,6401,25951
California,Oct 28 2021,8770,6257,25665
California,Oct 27 2021,4378,6205,25055
California,Oct 26 2021,24563,6019,24494
California,Oct 25 2021,0,3093,23798
California,Oct 24 2021,0,5487,23618
California,Oct 23 2021,0,5487,23534
California,Oct 22 2021,6093,5487,23306
California,Oct 21 2021,8407,5501,23258
California,Oct 20 2021,3070,5338,23439
California,Oct 19 2021,4081,5475,23729
California,Oct 18 2021,16764,5477,24138
California,Oct 17 2021,0,5499,24232
California,Oct 16 2021,0,5499,24564
California,Oct 15 2021,6188,5499,24988
California,Oct 14 2021,7263,5574,25598
California,Oct 13 2021,4034,5742,26044
California,Oct 12 2021,4091,5935,26372
California,Oct 11 2021,16921,5887,26572
California,Oct 10 2021,0,6183,26726
California,Oct  9 2021,0,6183,26959
California,Oct  8 2021,6710,6183,27279
California,Oct  7 2021,8440,6349,27842
California,Oct  6 2021,5386,6603,28892
California,Oct  5 2021,3752,6761,29948
California,Oct  4 2021,18998,6904,30799
California,Oct  3 2021,0,7472,30389
California,Oct  2 2021,0,7472,30495
California,Oct  1 2021,7869,7472,30868
California,Sep 30 2021,10221,7387,31473
California,Sep 29 2021,6493,7576,31100
