Data Table for Daily Case Trends - Colorado
Date generated: Tue Nov 16 2021 20:14:19 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,7-Day Avg People Fully Vaccinated
Colorado,Nov 15 2021,7470,2969,2019
Colorado,Nov 14 2021,0,3072,2309
Colorado,Nov 13 2021,0,3072,2352
Colorado,Nov 12 2021,3051,3072,2409
Colorado,Nov 11 2021,3912,3108,2481
Colorado,Nov 10 2021,3837,3142,2568
Colorado,Nov  9 2021,2514,2987,2638
Colorado,Nov  8 2021,8193,2970,2706
Colorado,Nov  7 2021,0,2856,2774
Colorado,Nov  6 2021,0,2856,2800
Colorado,Nov  5 2021,3306,2856,2826
Colorado,Nov  4 2021,4149,2854,2853
Colorado,Nov  3 2021,2747,2807,2952
Colorado,Nov  2 2021,2396,2899,3000
Colorado,Nov  1 2021,7394,2907,3050
Colorado,Oct 31 2021,0,2834,3054
Colorado,Oct 30 2021,0,2834,3080
Colorado,Oct 29 2021,3295,2834,3106
Colorado,Oct 28 2021,3823,2770,3144
Colorado,Oct 27 2021,3385,2709,3082
Colorado,Oct 26 2021,2452,2547,3054
Colorado,Oct 25 2021,6886,2480,3036
Colorado,Oct 24 2021,0,1749,3069
Colorado,Oct 23 2021,0,2002,3064
Colorado,Oct 22 2021,2846,2254,3065
Colorado,Oct 21 2021,3397,2255,3161
Colorado,Oct 20 2021,2252,2223,3222
Colorado,Oct 19 2021,1983,2253,3293
Colorado,Oct 18 2021,1769,2256,3331
Colorado,Oct 17 2021,1767,2283,3350
Colorado,Oct 16 2021,1767,2311,3398
Colorado,Oct 15 2021,2850,2339,3482
Colorado,Oct 14 2021,3179,2347,3515
Colorado,Oct 13 2021,2461,2291,3518
Colorado,Oct 12 2021,2000,2202,3540
Colorado,Oct 11 2021,1962,2242,3601
Colorado,Oct 10 2021,1961,2206,3659
Colorado,Oct  9 2021,1961,2171,3720
Colorado,Oct  8 2021,2911,2135,3785
Colorado,Oct  7 2021,2781,1922,3842
Colorado,Oct  6 2021,1838,1774,3967
Colorado,Oct  5 2021,2280,1668,4097
Colorado,Oct  4 2021,1714,1524,4180
Colorado,Oct  3 2021,1712,1474,4078
Colorado,Oct  2 2021,1712,1425,4081
Colorado,Oct  1 2021,1420,1375,4110
Colorado,Sep 30 2021,1743,1408,4105
Colorado,Sep 29 2021,1099,1367,4068
Colorado,Sep 28 2021,1272,1414,3992
Colorado,Sep 27 2021,1366,1423,3918
Colorado,Sep 26 2021,1364,1385,4084
Colorado,Sep 25 2021,1364,1406,4104
Colorado,Sep 24 2021,1650,1474,4044
Colorado,Sep 23 2021,1454,1552,4117
Colorado,Sep 22 2021,1432,1647,4158
Colorado,Sep 21 2021,1337,1733,4205
Colorado,Sep 20 2021,1094,1788,4344
Colorado,Sep 19 2021,1512,1826,4424
Colorado,Sep 18 2021,1845,1862,4477
Colorado,Sep 17 2021,2190,1949,4668
Colorado,Sep 16 2021,2123,1967,4764
Colorado,Sep 15 2021,2035,1950,4778
Colorado,Sep 14 2021,1717,1885,4847
Colorado,Sep 13 2021,1360,1794,5012
Colorado,Sep 12 2021,1769,1812,4457
Colorado,Sep 11 2021,2450,1798,4425
Colorado,Sep 10 2021,2315,1741,4281
Colorado,Sep  9 2021,2005,1724,4297
Colorado,Sep  8 2021,1580,1750,4324
Colorado,Sep  7 2021,1084,1817,4308
Colorado,Sep  6 2021,1486,1958,4172
Colorado,Sep  5 2021,1670,1945,4822
Colorado,Sep  4 2021,2048,1848,4923
Colorado,Sep  3 2021,2197,1799,5121
Colorado,Sep  2 2021,2190,1770,5149
Colorado,Sep  1 2021,2047,1765,5231
Colorado,Aug 31 2021,2071,1752,5283
Colorado,Aug 30 2021,1397,1641,5299
Colorado,Aug 29 2021,992,1586,5222
Colorado,Aug 28 2021,1701,1643,5194
Colorado,Aug 27 2021,1997,1651,5115
Colorado,Aug 26 2021,2153,1621,5177
Colorado,Aug 25 2021,1954,1549,5125
Colorado,Aug 24 2021,1298,1580,5066
Colorado,Aug 23 2021,1007,1554,4956
Colorado,Aug 22 2021,1393,1510,4893
Colorado,Aug 21 2021,1759,1438,4824
Colorado,Aug 20 2021,1786,1383,4737
Colorado,Aug 19 2021,1651,1288,4537
Colorado,Aug 18 2021,2172,1286,4482
Colorado,Aug 17 2021,1114,1163,4419
Colorado,Aug 16 2021,699,1120,4382
Colorado,Aug 15 2021,888,1114,4350
Colorado,Aug 14 2021,1376,1115,4295
Colorado,Aug 13 2021,1119,1077,4169
Colorado,Aug 12 2021,1636,1083,4033
Colorado,Aug 11 2021,1311,1007,3933
Colorado,Aug 10 2021,812,990,3827
Colorado,Aug  9 2021,659,986,3754
Colorado,Aug  8 2021,898,982,3671
Colorado,Aug  7 2021,1104,972,3630
Colorado,Aug  6 2021,1162,952,3667
Colorado,Aug  5 2021,1104,929,3691
Colorado,Aug  4 2021,1197,936,3734
Colorado,Aug  3 2021,783,879,3796
Colorado,Aug  2 2021,628,875,3813
Colorado,Aug  1 2021,832,852,3765
Colorado,Jul 31 2021,963,814,3725
Colorado,Jul 30 2021,1000,784,3698
Colorado,Jul 29 2021,1153,739,3637
Colorado,Jul 28 2021,798,681,3641
Colorado,Jul 27 2021,752,654,3665
Colorado,Jul 26 2021,469,619,3685
Colorado,Jul 25 2021,563,613,3797
Colorado,Jul 24 2021,755,592,3862
Colorado,Jul 23 2021,684,563,3929
Colorado,Jul 22 2021,752,545,4018
Colorado,Jul 21 2021,603,504,4020
Colorado,Jul 20 2021,509,489,4012
Colorado,Jul 19 2021,431,490,4090
Colorado,Jul 18 2021,413,466,4099
Colorado,Jul 17 2021,555,460,4124
Colorado,Jul 16 2021,552,448,4116
Colorado,Jul 15 2021,468,435,4249
Colorado,Jul 14 2021,501,434,4397
Colorado,Jul 13 2021,512,414,4546
Colorado,Jul 12 2021,262,372,4729
Colorado,Jul 11 2021,371,362,4594
Colorado,Jul 10 2021,474,352,4392
Colorado,Jul  9 2021,460,341,4391
Colorado,Jul  8 2021,458,342,4429
Colorado,Jul  7 2021,361,347,4503
Colorado,Jul  6 2021,224,356,4609
Colorado,Jul  5 2021,186,368,4690
Colorado,Jul  4 2021,301,372,5040
Colorado,Jul  3 2021,397,363,5413
Colorado,Jul  2 2021,467,361,5810
Colorado,Jul  1 2021,499,346,6003
Colorado,Jun 30 2021,419,345,6276
Colorado,Jun 29 2021,309,337,6569
Colorado,Jun 28 2021,217,334,7009
Colorado,Jun 27 2021,235,332,7024
Colorado,Jun 26 2021,384,334,7098
Colorado,Jun 25 2021,363,325,7464
Colorado,Jun 24 2021,492,323,8080
Colorado,Jun 23 2021,360,304,8522
Colorado,Jun 22 2021,288,303,8992
Colorado,Jun 21 2021,206,306,9252
Colorado,Jun 20 2021,251,304,10008
Colorado,Jun 19 2021,321,322,10506
Colorado,Jun 18 2021,347,344,11211
Colorado,Jun 17 2021,355,351,11781
Colorado,Jun 16 2021,355,368,12597
Colorado,Jun 15 2021,311,380,13244
Colorado,Jun 14 2021,189,399,13910
Colorado,Jun 13 2021,379,408,14432
Colorado,Jun 12 2021,475,405,14752
Colorado,Jun 11 2021,399,417,15176
Colorado,Jun 10 2021,472,448,15443
Colorado,Jun  9 2021,435,476,15301
Colorado,Jun  8 2021,445,467,14649
Colorado,Jun  7 2021,257,446,14375
Colorado,Jun  6 2021,353,449,12627
Colorado,Jun  5 2021,562,464,11867
Colorado,Jun  4 2021,614,463,10879
Colorado,Jun  3 2021,671,474,10460
Colorado,Jun  2 2021,371,486,10304
Colorado,Jun  1 2021,298,535,10759
Colorado,May 31 2021,274,687,10963
Colorado,May 30 2021,460,703,12538
Colorado,May 29 2021,558,718,13070
Colorado,May 28 2021,687,753,14046
Colorado,May 27 2021,755,761,14912
Colorado,May 26 2021,716,774,16063
Colorado,May 25 2021,1359,820,17083
Colorado,May 24 2021,387,715,18098
Colorado,May 23 2021,569,772,18960
Colorado,May 22 2021,799,776,19676
Colorado,May 21 2021,744,795,20457
Colorado,May 20 2021,848,856,21330
Colorado,May 19 2021,1039,1018,22683
Colorado,May 18 2021,625,1047,23069
Colorado,May 17 2021,783,1086,24094
Colorado,May 16 2021,600,1096,25476
Colorado,May 15 2021,927,1166,25412
Colorado,May 14 2021,1170,1235,27083
Colorado,May 13 2021,1987,1265,28747
Colorado,May 12 2021,1242,1183,29658
Colorado,May 11 2021,895,1221,31498
Colorado,May 10 2021,852,1296,32588
Colorado,May  9 2021,1090,1310,32988
Colorado,May  8 2021,1411,1320,34166
Colorado,May  7 2021,1379,1389,35245
Colorado,May  6 2021,1412,1452,35412
Colorado,May  5 2021,1509,1551,36016
Colorado,May  4 2021,1421,1596,35575
Colorado,May  3 2021,950,1605,34318
Colorado,May  2 2021,1162,1612,34372
Colorado,May  1 2021,1895,1690,32894
Colorado,Apr 30 2021,1819,1686,33045
Colorado,Apr 29 2021,2105,1697,33239
Colorado,Apr 28 2021,1822,1736,33426
Colorado,Apr 27 2021,1485,1717,33650
Colorado,Apr 26 2021,996,1750,34377
Colorado,Apr 25 2021,1714,1738,34043
Colorado,Apr 24 2021,1861,1696,35307
Colorado,Apr 23 2021,1900,1652,34874
Colorado,Apr 22 2021,2380,1673,34707
Colorado,Apr 21 2021,1687,1567,33904
Colorado,Apr 20 2021,1714,1586,32702
Colorado,Apr 19 2021,910,1580,31403
Colorado,Apr 18 2021,1422,1589,30706
Colorado,Apr 17 2021,1554,1581,28983
Colorado,Apr 16 2021,2046,1596,27144
Colorado,Apr 15 2021,1641,1574,28018
Colorado,Apr 14 2021,1819,1602,28424
Colorado,Apr 13 2021,1671,1626,29680
Colorado,Apr 12 2021,974,1528,30838
Colorado,Apr 11 2021,1366,1528,30712
Colorado,Apr 10 2021,1661,1539,30588
Colorado,Apr  9 2021,1886,1520,29478
Colorado,Apr  8 2021,1843,1490,27854
Colorado,Apr  7 2021,1984,1465,26608
Colorado,Apr  6 2021,988,1377,24392
Colorado,Apr  5 2021,969,1399,22655
Colorado,Apr  4 2021,1443,1380,21489
Colorado,Apr  3 2021,1530,1326,21340
Colorado,Apr  2 2021,1678,1289,20957
Colorado,Apr  1 2021,1665,1243,19597
Colorado,Mar 31 2021,1367,1188,17241
Colorado,Mar 30 2021,1145,1161,16480
Colorado,Mar 29 2021,835,1181,15722
Colorado,Mar 28 2021,1065,1098,14797
Colorado,Mar 27 2021,1271,1073,15383
Colorado,Mar 26 2021,1359,1075,17108
Colorado,Mar 25 2021,1278,1128,16751
