Data Table for Daily Case Trends - Georgia
Date generated: Tue Nov 16 2021 20:14:37 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,7-Day Avg People Fully Vaccinated
Georgia,Nov 15 2021,2255,1212,2828
Georgia,Nov 14 2021,0,889,2972
Georgia,Nov 13 2021,0,889,2994
Georgia,Nov 12 2021,2268,889,3052
Georgia,Nov 11 2021,0,728,3282
Georgia,Nov 10 2021,1052,913,3567
Georgia,Nov  9 2021,2909,935,3713
Georgia,Nov  8 2021,0,673,4195
Georgia,Nov  7 2021,0,991,4977
Georgia,Nov  6 2021,0,991,5233
Georgia,Nov  5 2021,1140,991,5434
Georgia,Nov  4 2021,1290,1003,5799
Georgia,Nov  3 2021,1208,1036,6043
Georgia,Nov  2 2021,1073,1151,6212
Georgia,Nov  1 2021,2232,1165,6287
Georgia,Oct 31 2021,0,1242,6477
Georgia,Oct 30 2021,0,1242,6565
Georgia,Oct 29 2021,1223,1242,6704
Georgia,Oct 28 2021,1522,1286,6722
Georgia,Oct 27 2021,2011,1281,6615
Georgia,Oct 26 2021,1171,1234,6475
Georgia,Oct 25 2021,2767,1307,6441
Georgia,Oct 24 2021,0,1070,6363
Georgia,Oct 23 2021,0,1227,6365
Georgia,Oct 22 2021,1536,1385,6342
Georgia,Oct 21 2021,1487,1438,6486
Georgia,Oct 20 2021,1682,1526,6644
Georgia,Oct 19 2021,1679,1573,6933
Georgia,Oct 18 2021,1106,1584,7212
Georgia,Oct 17 2021,1105,1676,7289
Georgia,Oct 16 2021,1105,1769,7474
Georgia,Oct 15 2021,1905,1861,7682
Georgia,Oct 14 2021,2102,2057,8008
Georgia,Oct 13 2021,2011,2578,8383
Georgia,Oct 12 2021,1758,2421,8605
Georgia,Oct 11 2021,1752,2580,8896
Georgia,Oct 10 2021,1752,2702,9288
Georgia,Oct  9 2021,1752,2822,9424
Georgia,Oct  8 2021,3274,2943,9694
Georgia,Oct  7 2021,5753,2953,10241
Georgia,Oct  6 2021,907,2828,10690
Georgia,Oct  5 2021,2876,3332,11085
Georgia,Oct  4 2021,2600,3473,11237
Georgia,Oct  3 2021,2597,3483,11055
Georgia,Oct  2 2021,2597,3493,11216
Georgia,Oct  1 2021,3347,3503,11313
Georgia,Sep 30 2021,4876,3640,11539
Georgia,Sep 29 2021,4435,3593,11582
Georgia,Sep 28 2021,3865,3635,11845
Georgia,Sep 27 2021,2670,4153,12264
Georgia,Sep 26 2021,2667,4312,13126
Georgia,Sep 25 2021,2667,4472,13218
Georgia,Sep 24 2021,4300,4631,13579
Georgia,Sep 23 2021,4553,4816,13989
Georgia,Sep 22 2021,4723,5001,14382
Georgia,Sep 21 2021,7493,5208,14598
Georgia,Sep 20 2021,3785,5184,14856
Georgia,Sep 19 2021,3784,5401,14990
Georgia,Sep 18 2021,3784,5617,15090
Georgia,Sep 17 2021,5592,5834,15227
Georgia,Sep 16 2021,5852,6218,15315
Georgia,Sep 15 2021,6167,6465,15334
Georgia,Sep 14 2021,7327,6840,15203
Georgia,Sep 13 2021,5302,6719,14754
Georgia,Sep 12 2021,5300,6887,12742
Georgia,Sep 11 2021,5300,7055,12473
Georgia,Sep 10 2021,8278,7222,12060
Georgia,Sep  9 2021,7586,7757,11521
Georgia,Sep  8 2021,8792,7875,11365
Georgia,Sep  7 2021,6479,8005,11166
Georgia,Sep  6 2021,6475,8582,11322
Georgia,Sep  5 2021,6475,8759,13188
Georgia,Sep  4 2021,6475,8936,13315
Georgia,Sep  3 2021,12018,9112,13778
Georgia,Sep  2 2021,8412,8979,13948
Georgia,Sep  1 2021,9702,9323,13966
Georgia,Aug 31 2021,10521,9462,14243
Georgia,Aug 30 2021,7713,9272,14318
Georgia,Aug 29 2021,7711,9173,14204
Georgia,Aug 28 2021,7711,9075,14263
Georgia,Aug 27 2021,11084,8977,14140
Georgia,Aug 26 2021,10823,8762,14013
Georgia,Aug 25 2021,10677,8621,13739
Georgia,Aug 24 2021,9186,8241,13433
Georgia,Aug 23 2021,7024,8020,13046
Georgia,Aug 22 2021,7024,7940,12689
Georgia,Aug 21 2021,7024,7861,12528
Georgia,Aug 20 2021,9581,7781,12171
