Data Table for Daily Case Trends - Idaho
Date generated: Tue Nov 16 2021 20:14:50 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,7-Day Avg People Fully Vaccinated
Idaho,Nov 15 2021,678,483,452
Idaho,Nov 14 2021,0,507,577
Idaho,Nov 13 2021,273,507,595
Idaho,Nov 12 2021,942,518,618
Idaho,Nov 11 2021,0,498,664
Idaho,Nov 10 2021,724,592,700
Idaho,Nov  9 2021,768,667,790
Idaho,Nov  8 2021,843,689,846
Idaho,Nov  7 2021,0,711,870
Idaho,Nov  6 2021,349,721,864
Idaho,Nov  5 2021,803,725,845
Idaho,Nov  4 2021,662,764,843
Idaho,Nov  3 2021,1244,794,852
Idaho,Nov  2 2021,924,794,866
Idaho,Nov  1 2021,1001,854,899
Idaho,Oct 31 2021,64,867,918
Idaho,Oct 30 2021,380,892,941
Idaho,Oct 29 2021,1076,942,980
Idaho,Oct 28 2021,873,999,1025
Idaho,Oct 27 2021,1244,1064,1034
Idaho,Oct 26 2021,1344,1108,1038
Idaho,Oct 25 2021,1090,1125,1030
Idaho,Oct 24 2021,242,1154,1066
Idaho,Oct 23 2021,725,1163,1074
Idaho,Oct 22 2021,1480,1171,1100
Idaho,Oct 21 2021,1328,1176,1119
Idaho,Oct 20 2021,1549,1263,1169
Idaho,Oct 19 2021,1464,1331,1207
Idaho,Oct 18 2021,1290,1261,1249
Idaho,Oct 17 2021,305,1215,1246
Idaho,Oct 16 2021,782,1201,1229
Idaho,Oct 15 2021,1520,1202,1142
Idaho,Oct 14 2021,1935,1225,1101
Idaho,Oct 13 2021,2024,1137,1108
Idaho,Oct 12 2021,971,1043,1106
Idaho,Oct 11 2021,970,1167,1105
Idaho,Oct 10 2021,206,1187,1121
Idaho,Oct  9 2021,790,1206,1147
Idaho,Oct  8 2021,1682,1223,1257
Idaho,Oct  7 2021,1321,1237,1353
Idaho,Oct  6 2021,1367,1320,1357
Idaho,Oct  5 2021,1835,1365,1389
Idaho,Oct  4 2021,1108,1297,1412
Idaho,Oct  3 2021,339,1342,1378
Idaho,Oct  2 2021,912,1350,1378
Idaho,Oct  1 2021,1778,1337,1375
Idaho,Sep 30 2021,1905,1318,1372
Idaho,Sep 29 2021,1684,1238,1372
Idaho,Sep 28 2021,1355,1191,1371
Idaho,Sep 27 2021,1423,1259,1369
Idaho,Sep 26 2021,399,1233,1461
Idaho,Sep 25 2021,816,1219,1465
Idaho,Sep 24 2021,1646,1211,1475
Idaho,Sep 23 2021,1345,1223,1520
Idaho,Sep 22 2021,1354,1204,1549
Idaho,Sep 21 2021,1830,1199,1573
Idaho,Sep 20 2021,1244,1174,1584
Idaho,Sep 19 2021,300,1202,1577
Idaho,Sep 18 2021,758,1206,1576
Idaho,Sep 17 2021,1730,1233,1586
Idaho,Sep 16 2021,1218,1211,1578
Idaho,Sep 15 2021,1315,1245,1564
Idaho,Sep 14 2021,1657,1272,1546
Idaho,Sep 13 2021,1436,1126,1600
Idaho,Sep 12 2021,330,1012,1370
Idaho,Sep 11 2021,947,1056,1362
Idaho,Sep 10 2021,1574,1012,1325
Idaho,Sep  9 2021,1459,985,1253
Idaho,Sep  8 2021,1504,1006,1214
Idaho,Sep  7 2021,638,957,1181
Idaho,Sep  6 2021,637,1041,1094
Idaho,Sep  5 2021,637,1059,1258
Idaho,Sep  4 2021,637,1076,1261
Idaho,Sep  3 2021,1388,1093,1260
Idaho,Sep  2 2021,1604,1014,1268
Idaho,Sep  1 2021,1163,927,1279
Idaho,Aug 31 2021,1226,906,1285
Idaho,Aug 30 2021,760,879,1264
Idaho,Aug 29 2021,758,821,1263
Idaho,Aug 28 2021,758,764,1250
Idaho,Aug 27 2021,834,706,1242
Idaho,Aug 26 2021,992,675,1220
Idaho,Aug 25 2021,1019,647,1212
Idaho,Aug 24 2021,1032,675,1166
Idaho,Aug 23 2021,359,657,1146
Idaho,Aug 22 2021,356,670,1123
Idaho,Aug 21 2021,356,684,1118
Idaho,Aug 20 2021,612,697,1086
Idaho,Aug 19 2021,795,721,1032
Idaho,Aug 18 2021,1217,715,971
Idaho,Aug 17 2021,904,646,950
Idaho,Aug 16 2021,455,625,912
Idaho,Aug 15 2021,451,605,866
Idaho,Aug 14 2021,451,585,854
Idaho,Aug 13 2021,780,566,848
Idaho,Aug 12 2021,751,551,801
Idaho,Aug 11 2021,736,550,789
