Data Table for Daily Case Trends - Indiana
Date generated: Tue Nov 16 2021 20:15:04 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,7-Day Avg People Fully Vaccinated
Indiana,Nov 15 2021,5996,2918,1046
Indiana,Nov 14 2021,0,2754,1327
Indiana,Nov 13 2021,0,2754,1402
Indiana,Nov 12 2021,6728,2754,1438
Indiana,Nov 11 2021,2929,2123,1472
Indiana,Nov 10 2021,2809,1994,1551
Indiana,Nov  9 2021,1968,1875,1733
Indiana,Nov  8 2021,4850,1790,1911
Indiana,Nov  7 2021,0,1664,1920
Indiana,Nov  6 2021,0,1664,1906
Indiana,Nov  5 2021,2310,1664,1849
Indiana,Nov  4 2021,2024,1608,1819
Indiana,Nov  3 2021,1977,1615,1864
Indiana,Nov  2 2021,1371,1624,1943
Indiana,Nov  1 2021,3971,1630,1985
Indiana,Oct 31 2021,0,1565,2023
Indiana,Oct 30 2021,0,1565,2062
Indiana,Oct 29 2021,1916,1565,2149
Indiana,Oct 28 2021,2070,1560,2243
Indiana,Oct 27 2021,2046,1572,2252
Indiana,Oct 26 2021,1409,1558,2258
Indiana,Oct 25 2021,3516,1576,2257
Indiana,Oct 24 2021,0,1256,2334
Indiana,Oct 23 2021,0,1438,2342
Indiana,Oct 22 2021,1884,1620,2387
Indiana,Oct 21 2021,2150,1674,2489
Indiana,Oct 20 2021,1950,1741,2554
Indiana,Oct 19 2021,1534,1847,2641
Indiana,Oct 18 2021,1274,1857,2757
Indiana,Oct 17 2021,1274,1899,2804
Indiana,Oct 16 2021,1274,1942,2812
Indiana,Oct 15 2021,2262,1985,2621
Indiana,Oct 14 2021,2619,2154,2425
Indiana,Oct 13 2021,2695,2094,2486
Indiana,Oct 12 2021,1601,2085,2575
Indiana,Oct 11 2021,1574,2156,2650
Indiana,Oct 10 2021,1573,2221,2682
Indiana,Oct  9 2021,1573,2286,2789
Indiana,Oct  8 2021,3444,2351,3076
Indiana,Oct  7 2021,2198,2313,3441
Indiana,Oct  6 2021,2633,2484,3598
Indiana,Oct  5 2021,2102,2517,3697
Indiana,Oct  4 2021,2029,2548,3775
Indiana,Oct  3 2021,2028,2558,3679
Indiana,Oct  2 2021,2028,2569,3644
Indiana,Oct  1 2021,3174,2580,3500
Indiana,Sep 30 2021,3399,2585,3513
Indiana,Sep 29 2021,2861,2612,3555
Indiana,Sep 28 2021,2318,2761,3686
Indiana,Sep 27 2021,2104,2806,3855
Indiana,Sep 26 2021,2104,2886,4322
Indiana,Sep 25 2021,2104,2965,4483
Indiana,Sep 24 2021,3210,3044,4882
Indiana,Sep 23 2021,3588,3198,5189
Indiana,Sep 22 2021,3899,3270,5367
Indiana,Sep 21 2021,2635,3384,5499
Indiana,Sep 20 2021,2662,3510,5556
Indiana,Sep 19 2021,2660,3614,5553
Indiana,Sep 18 2021,2660,3718,5526
Indiana,Sep 17 2021,4284,3822,5490
Indiana,Sep 16 2021,4090,3972,5460
Indiana,Sep 15 2021,4702,4124,5328
Indiana,Sep 14 2021,3515,3866,5246
Indiana,Sep 13 2021,3391,3828,5382
Indiana,Sep 12 2021,3389,3807,4649
Indiana,Sep 11 2021,3389,3786,4507
Indiana,Sep 10 2021,5328,3766,3917
Indiana,Sep  9 2021,5154,3723,3429
Indiana,Sep  8 2021,2901,3723,3433
Indiana,Sep  7 2021,3246,3985,3373
Indiana,Sep  6 2021,3245,4026,3263
Indiana,Sep  5 2021,3245,4102,4018
Indiana,Sep  4 2021,3245,4178,4209
Indiana,Sep  3 2021,5029,4254,4865
Indiana,Sep  2 2021,5152,4226,5347
Indiana,Sep  1 2021,4733,4190,5406
Indiana,Aug 31 2021,3535,4222,5487
Indiana,Aug 30 2021,3777,4211,5458
Indiana,Aug 29 2021,3777,4072,5423
Indiana,Aug 28 2021,3777,3932,5375
Indiana,Aug 27 2021,4831,3793,5306
Indiana,Aug 26 2021,4901,3689,5249
Indiana,Aug 25 2021,4958,3489,5231
Indiana,Aug 24 2021,3461,3273,5201
Indiana,Aug 23 2021,2800,3163,5158
Indiana,Aug 22 2021,2800,3081,5124
Indiana,Aug 21 2021,2800,2999,5059
Indiana,Aug 20 2021,4103,2916,5002
Indiana,Aug 19 2021,3501,2709,4894
Indiana,Aug 18 2021,3451,2659,4743
Indiana,Aug 17 2021,2691,2518,4569
Indiana,Aug 16 2021,2224,2447,4457
Indiana,Aug 15 2021,2223,2365,4301
Indiana,Aug 14 2021,2223,2283,4242
Indiana,Aug 13 2021,2656,2201,4111
Indiana,Aug 12 2021,3151,2108,3950
Indiana,Aug 11 2021,2458,1929,3884
Indiana,Aug 10 2021,2196,1826,3818
Indiana,Aug  9 2021,1650,1739,3706
Indiana,Aug  8 2021,1648,1637,3641
Indiana,Aug  7 2021,1648,1534,3592
Indiana,Aug  6 2021,2009,1432,3614
Indiana,Aug  5 2021,1900,1348,3553
Indiana,Aug  4 2021,1731,1256,3521
Indiana,Aug  3 2021,1589,1182,3561
Indiana,Aug  2 2021,934,1106,3594
Indiana,Aug  1 2021,932,1063,3514
Indiana,Jul 31 2021,932,1021,3434
Indiana,Jul 30 2021,1424,978,3336
Indiana,Jul 29 2021,1251,883,3325
Indiana,Jul 28 2021,1215,826,3378
Indiana,Jul 27 2021,1058,754,3467
Indiana,Jul 26 2021,635,697,3494
Indiana,Jul 25 2021,634,668,3648
Indiana,Jul 24 2021,634,640,3737
Indiana,Jul 23 2021,760,612,3778
Indiana,Jul 22 2021,851,581,3849
Indiana,Jul 21 2021,710,539,3856
Indiana,Jul 20 2021,655,521,3839
Indiana,Jul 19 2021,437,509,3884
Indiana,Jul 18 2021,436,487,3941
Indiana,Jul 17 2021,436,465,3940
Indiana,Jul 16 2021,545,443,4077
Indiana,Jul 15 2021,556,427,4175
Indiana,Jul 14 2021,583,427,4343
Indiana,Jul 13 2021,575,397,4488
Indiana,Jul 12 2021,282,349,4737
Indiana,Jul 11 2021,280,344,4515
Indiana,Jul 10 2021,280,339,4359
Indiana,Jul  9 2021,437,334,4185
Indiana,Jul  8 2021,555,329,4164
Indiana,Jul  7 2021,370,306,4100
Indiana,Jul  6 2021,244,310,4200
Indiana,Jul  5 2021,244,313,4240
Indiana,Jul  4 2021,244,305,4633
Indiana,Jul  3 2021,244,297,4885
Indiana,Jul  2 2021,407,289,5210
Indiana,Jul  1 2021,390,274,5544
Indiana,Jun 30 2021,399,259,5862
Indiana,Jun 29 2021,268,243,6027
Indiana,Jun 28 2021,187,247,6350
Indiana,Jun 27 2021,187,231,6196
Indiana,Jun 26 2021,187,234,6205
Indiana,Jun 25 2021,304,266,6378
Indiana,Jun 24 2021,287,280,6719
Indiana,Jun 23 2021,282,276,7037
Indiana,Jun 22 2021,300,284,7407
Indiana,Jun 21 2021,71,284,7836
Indiana,Jun 20 2021,213,282,8629
Indiana,Jun 19 2021,405,306,8783
Indiana,Jun 18 2021,405,311,9277
Indiana,Jun 17 2021,262,310,9786
Indiana,Jun 16 2021,335,338,10364
Indiana,Jun 15 2021,303,341,10795
Indiana,Jun 14 2021,55,349,11359
Indiana,Jun 13 2021,380,351,11869
Indiana,Jun 12 2021,443,363,12031
Indiana,Jun 11 2021,395,359,12136
Indiana,Jun 10 2021,460,367,12469
Indiana,Jun  9 2021,352,475,12722
Indiana,Jun  8 2021,364,462,12522
Indiana,Jun  7 2021,67,419,12522
Indiana,Jun  6 2021,462,474,10645
Indiana,Jun  5 2021,419,459,10287
