Data Table for Daily Case Trends - Iowa
Date generated: Tue Nov 16 2021 20:15:10 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,7-Day Avg People Fully Vaccinated
Iowa,Nov 15 2021,2974,1270,706
Iowa,Nov 14 2021,0,1308,855
Iowa,Nov 13 2021,0,1308,907
Iowa,Nov 12 2021,3090,1308,949
Iowa,Nov 11 2021,0,1287,992
Iowa,Nov 10 2021,1195,1287,1015
Iowa,Nov  9 2021,1631,1175,1033
Iowa,Nov  8 2021,3241,1251,1049
Iowa,Nov  7 2021,0,1182,1072
Iowa,Nov  6 2021,0,1182,1077
Iowa,Nov  5 2021,2944,1182,1067
Iowa,Nov  4 2021,0,1103,1115
Iowa,Nov  3 2021,411,1103,1173
Iowa,Nov  2 2021,2167,1091,1206
Iowa,Nov  1 2021,2753,1096,1233
Iowa,Oct 31 2021,0,997,1245
Iowa,Oct 30 2021,0,997,1244
Iowa,Oct 29 2021,2396,997,1248
Iowa,Oct 28 2021,0,829,1238
Iowa,Oct 27 2021,327,1003,1219
Iowa,Oct 26 2021,2202,997,1203
Iowa,Oct 25 2021,2054,998,1199
Iowa,Oct 24 2021,0,795,1231
Iowa,Oct 23 2021,0,885,1231
Iowa,Oct 22 2021,1221,974,1245
Iowa,Oct 21 2021,1219,975,1269
Iowa,Oct 20 2021,287,976,1292
Iowa,Oct 19 2021,2210,986,1322
Iowa,Oct 18 2021,631,965,1353
Iowa,Oct 17 2021,627,1002,1360
Iowa,Oct 16 2021,627,1039,1382
Iowa,Oct 15 2021,1229,1076,1401
Iowa,Oct 14 2021,1227,1120,1462
Iowa,Oct 13 2021,356,1163,1498
Iowa,Oct 12 2021,2060,1166,1534
Iowa,Oct 11 2021,890,1221,1574
Iowa,Oct 10 2021,886,1253,1576
Iowa,Oct  9 2021,886,1285,1592
Iowa,Oct  8 2021,1535,1316,1616
Iowa,Oct  7 2021,1533,1349,1651
Iowa,Oct  6 2021,377,1381,1656
Iowa,Oct  5 2021,2444,1408,1682
Iowa,Oct  4 2021,1111,1410,1688
Iowa,Oct  3 2021,1109,1411,1669
Iowa,Oct  2 2021,1109,1413,1665
Iowa,Oct  1 2021,1761,1415,1676
Iowa,Sep 30 2021,1761,1484,1686
Iowa,Sep 29 2021,565,1553,1709
Iowa,Sep 28 2021,2454,1544,1747
Iowa,Sep 27 2021,1124,1595,1807
Iowa,Sep 26 2021,1123,1607,1876
Iowa,Sep 25 2021,1123,1620,1891
Iowa,Sep 24 2021,2243,1632,1933
Iowa,Sep 23 2021,2242,1681,2088
Iowa,Sep 22 2021,503,1729,2179
Iowa,Sep 21 2021,2808,1737,2224
Iowa,Sep 20 2021,1213,1811,2229
Iowa,Sep 19 2021,1210,1829,2323
Iowa,Sep 18 2021,1210,1848,2327
Iowa,Sep 17 2021,2581,1867,2349
Iowa,Sep 16 2021,2580,1785,2351
Iowa,Sep 15 2021,561,1703,2334
Iowa,Sep 14 2021,3323,1792,2379
Iowa,Sep 13 2021,1344,1487,2522
Iowa,Sep 12 2021,1341,1448,2232
Iowa,Sep 11 2021,1341,1409,2263
Iowa,Sep 10 2021,2008,1370,2263
Iowa,Sep  9 2021,2008,1311,2275
Iowa,Sep  8 2021,1185,1251,2280
Iowa,Sep  7 2021,1183,1342,2296
Iowa,Sep  6 2021,1071,1433,2222
Iowa,Sep  5 2021,1068,1377,2552
Iowa,Sep  4 2021,1068,1321,2578
Iowa,Sep  3 2021,1594,1264,2654
Iowa,Sep  2 2021,1593,1225,2698
Iowa,Sep  1 2021,1822,1186,2717
Iowa,Aug 31 2021,1821,1109,2683
Iowa,Aug 30 2021,676,1032,2634
Iowa,Aug 29 2021,673,1048,2610
Iowa,Aug 28 2021,673,1063,2565
Iowa,Aug 27 2021,1322,1079,2497
Iowa,Aug 26 2021,1321,1047,2419
Iowa,Aug 25 2021,1280,1016,2386
Iowa,Aug 24 2021,1280,975,2354
Iowa,Aug 23 2021,787,934,2359
Iowa,Aug 22 2021,784,906,2338
Iowa,Aug 21 2021,784,877,2331
Iowa,Aug 20 2021,1099,849,2279
Iowa,Aug 19 2021,1098,831,2137
Iowa,Aug 18 2021,996,813,2083
Iowa,Aug 17 2021,996,794,2028
Iowa,Aug 16 2021,587,774,1959
Iowa,Aug 15 2021,584,765,1892
Iowa,Aug 14 2021,584,755,1862
Iowa,Aug 13 2021,975,746,1813
Iowa,Aug 12 2021,975,721,1753
Iowa,Aug 11 2021,859,696,1719
Iowa,Aug 10 2021,858,665,1659
Iowa,Aug  9 2021,521,635,1606
Iowa,Aug  8 2021,519,623,1558
Iowa,Aug  7 2021,519,611,1535
Iowa,Aug  6 2021,799,600,1522
Iowa,Aug  5 2021,797,548,1446
Iowa,Aug  4 2021,646,497,1423
Iowa,Aug  3 2021,645,479,1422
Iowa,Aug  2 2021,439,460,1419
Iowa,Aug  1 2021,437,425,1365
Iowa,Jul 31 2021,437,391,1357
Iowa,Jul 30 2021,441,356,1371
Iowa,Jul 29 2021,440,334,1409
Iowa,Jul 28 2021,515,312,1398
Iowa,Jul 27 2021,515,277,1408
Iowa,Jul 26 2021,196,241,1407
Iowa,Jul 25 2021,195,235,1436
Iowa,Jul 24 2021,195,230,1446
Iowa,Jul 23 2021,287,224,1451
Iowa,Jul 22 2021,287,212,1461
Iowa,Jul 21 2021,265,200,1465
Iowa,Jul 20 2021,263,189,1455
Iowa,Jul 19 2021,158,178,1458
Iowa,Jul 18 2021,157,169,1500
Iowa,Jul 17 2021,157,160,1526
Iowa,Jul 16 2021,203,150,1505
Iowa,Jul 15 2021,202,142,1415
Iowa,Jul 14 2021,187,134,1448
Iowa,Jul 13 2021,186,113,1536
Iowa,Jul 12 2021,93,105,1617
Iowa,Jul 11 2021,92,95,1575
Iowa,Jul 10 2021,92,85,1509
Iowa,Jul  9 2021,146,88,1515
Iowa,Jul  8 2021,144,73,1637
Iowa,Jul  7 2021,41,74,1703
Iowa,Jul  6 2021,133,76,1721
Iowa,Jul  5 2021,20,80,1713
Iowa,Jul  4 2021,25,83,1832
Iowa,Jul  3 2021,108,84,1919
Iowa,Jul  2 2021,45,87,2023
Iowa,Jul  1 2021,148,83,2161
Iowa,Jun 30 2021,59,77,2245
Iowa,Jun 29 2021,161,72,2325
Iowa,Jun 28 2021,41,71,2423
Iowa,Jun 27 2021,32,68,2406
Iowa,Jun 26 2021,127,74,2434
Iowa,Jun 25 2021,13,67,2501
Iowa,Jun 24 2021,108,76,2729
Iowa,Jun 23 2021,23,69,2913
Iowa,Jun 22 2021,157,77,3144
Iowa,Jun 21 2021,17,70,3398
Iowa,Jun 20 2021,77,78,3787
Iowa,Jun 19 2021,75,74,3940
Iowa,Jun 18 2021,75,81,4208
Iowa,Jun 17 2021,59,83,4692
Iowa,Jun 16 2021,85,85,4974
Iowa,Jun 15 2021,103,85,5279
Iowa,Jun 14 2021,72,83,5432
Iowa,Jun 13 2021,52,78,5586
Iowa,Jun 12 2021,127,81,5668
Iowa,Jun 11 2021,89,76,5831
Iowa,Jun 10 2021,69,78,5852
Iowa,Jun  9 2021,87,86,5800
Iowa,Jun  8 2021,89,97,5474
Iowa,Jun  7 2021,35,91,5324
Iowa,Jun  6 2021,73,92,4526
Iowa,Jun  5 2021,93,89,4297
Iowa,Jun  4 2021,102,91,3885
Iowa,Jun  3 2021,126,89,3519
Iowa,Jun  2 2021,162,85,3541
Iowa,Jun  1 2021,49,85,3766
Iowa,May 31 2021,40,101,3838
Iowa,May 30 2021,53,108,4447
Iowa,May 29 2021,105,116,4546
Iowa,May 28 2021,88,123,4812
Iowa,May 27 2021,102,134,5640
Iowa,May 26 2021,161,149,6066
Iowa,May 25 2021,160,169,6496
Iowa,May 24 2021,90,175,7023
Iowa,May 23 2021,108,179,7378
Iowa,May 22 2021,154,183,7599
Iowa,May 21 2021,168,186,8140
Iowa,May 20 2021,208,196,8843
Iowa,May 19 2021,297,203,9731
Iowa,May 18 2021,201,214,10341
Iowa,May 17 2021,121,225,10639
Iowa,May 16 2021,138,236,10698
Iowa,May 15 2021,170,238,10726
Iowa,May 14 2021,237,251,11011
Iowa,May 13 2021,257,268,11144
Iowa,May 12 2021,376,285,11680
Iowa,May 11 2021,281,294,12285
Iowa,May 10 2021,194,327,12908
Iowa,May  9 2021,154,313,13431
Iowa,May  8 2021,264,333,13479
Iowa,May  7 2021,351,350,13477
Iowa,May  6 2021,380,352,14270
Iowa,May  5 2021,440,361,14858
Iowa,May  4 2021,506,370,15514
Iowa,May  3 2021,101,351,15987
Iowa,May  2 2021,291,370,15994
Iowa,May  1 2021,386,356,15838
Iowa,Apr 30 2021,366,358,15878
Iowa,Apr 29 2021,443,368,15758
Iowa,Apr 28 2021,503,372,15790
Iowa,Apr 27 2021,372,392,15494
Iowa,Apr 26 2021,235,426,15530
Iowa,Apr 25 2021,191,415,15261
Iowa,Apr 24 2021,398,424,15449
Iowa,Apr 23 2021,440,439,15606
Iowa,Apr 22 2021,470,431,15110
Iowa,Apr 21 2021,642,432,14781
Iowa,Apr 20 2021,609,434,14503
Iowa,Apr 19 2021,160,427,14027
Iowa,Apr 18 2021,249,438,14627
Iowa,Apr 17 2021,504,465,14814
Iowa,Apr 16 2021,387,456,15476
Iowa,Apr 15 2021,478,488,17084
Iowa,Apr 14 2021,656,510,17871
Iowa,Apr 13 2021,561,523,18414
Iowa,Apr 12 2021,232,518,18867
Iowa,Apr 11 2021,437,523,18536
Iowa,Apr 10 2021,441,519,17960
Iowa,Apr  9 2021,615,526,16880
Iowa,Apr  8 2021,631,522,15044
Iowa,Apr  7 2021,750,546,14443
Iowa,Apr  6 2021,524,515,13705
Iowa,Apr  5 2021,268,523,12702
Iowa,Apr  4 2021,406,522,12335
Iowa,Apr  3 2021,490,528,12500
Iowa,Apr  2 2021,589,527,12551
Iowa,Apr  1 2021,796,560,13593
Iowa,Mar 31 2021,537,542,13630
Iowa,Mar 30 2021,577,573,13915
Iowa,Mar 29 2021,259,564,13190
Iowa,Mar 28 2021,448,559,12740
Iowa,Mar 27 2021,483,541,12729
Iowa,Mar 26 2021,823,524,12379
Iowa,Mar 25 2021,667,481,11294
Iowa,Mar 24 2021,758,457,10758
Iowa,Mar 23 2021,513,418,10999
Iowa,Mar 22 2021,224,408,12402
Iowa,Mar 21 2021,320,419,12802
Iowa,Mar 20 2021,365,413,13022
Iowa,Mar 19 2021,524,422,13862
Iowa,Mar 18 2021,496,418,15593
Iowa,Mar 17 2021,490,414,16288
Iowa,Mar 16 2021,442,454,16186
Iowa,Mar 15 2021,297,470,16373
Iowa,Mar 14 2021,281,457,16938
Iowa,Mar 13 2021,425,462,17039
Iowa,Mar 12 2021,495,470,17988
Iowa,Mar 11 2021,473,472,18243
Iowa,Mar 10 2021,766,488,17576
Iowa,Mar  9 2021,557,467,17206
Iowa,Mar  8 2021,205,447,16240
Iowa,Mar  7 2021,316,463,15738
Iowa,Mar  6 2021,484,464,15444
Iowa,Mar  5 2021,505,455,13867
Iowa,Mar  4 2021,583,481,11159
Iowa,Mar  3 2021,624,491,9479
Iowa,Mar  2 2021,415,508,7864
Iowa,Mar  1 2021,318,511,6771
Iowa,Feb 28 2021,322,526,5919
Iowa,Feb 27 2021,419,539,5644
Iowa,Feb 26 2021,688,545,4827
Iowa,Feb 25 2021,656,525,4036
Iowa,Feb 24 2021,743,533,3825
Iowa,Feb 23 2021,433,513,3877
Iowa,Feb 22 2021,427,516,3971
Iowa,Feb 21 2021,413,503,3979
Iowa,Feb 20 2021,460,501,3985
Iowa,Feb 19 2021,547,518,4060
Iowa,Feb 18 2021,714,542,4273
Iowa,Feb 17 2021,598,562,4440
Iowa,Feb 16 2021,456,618,4396
Iowa,Feb 15 2021,333,649,4601
Iowa,Feb 14 2021,401,668,5012
Iowa,Feb 13 2021,580,683,5116
Iowa,Feb 12 2021,713,661,5183
Iowa,Feb 11 2021,853,673,5563
Iowa,Feb 10 2021,990,676,5507
Iowa,Feb  9 2021,675,709,5877
Iowa,Feb  8 2021,465,727,6103
Iowa,Feb  7 2021,506,742,6186
Iowa,Feb  6 2021,428,768,6164
Iowa,Feb  5 2021,800,831,6043
Iowa,Feb  4 2021,873,860,5544
Iowa,Feb  3 2021,1218,917,5558
Iowa,Feb  2 2021,804,886,5709
Iowa,Feb  1 2021,567,899,5612
Iowa,Jan 31 2021,691,902,5619
Iowa,Jan 30 2021,867,924,5576
Iowa,Jan 29 2021,1005,964,5421
Iowa,Jan 28 2021,1272,1012,4879
Iowa,Jan 27 2021,1001,1072,4520
Iowa,Jan 26 2021,896,1104,4124
Iowa,Jan 25 2021,583,1127,3817
Iowa,Jan 24 2021,848,1146,3320
Iowa,Jan 23 2021,1149,1116,3206
Iowa,Jan 22 2021,1335,1116,3070
Iowa,Jan 21 2021,1692,1110,2727
Iowa,Jan 20 2021,1229,1086,2263
Iowa,Jan 19 2021,1057,1181,1505
Iowa,Jan 18 2021,716,1188,1183
Iowa,Jan 17 2021,636,1203,1017
Iowa,Jan 16 2021,1150,1273,1010
Iowa,Jan 15 2021,1296,1301,1088
Iowa,Jan 14 2021,1520,1438,1328
Iowa,Jan 13 2021,1898,1481,1383
Iowa,Jan 12 2021,1105,1585,1270
Iowa,Jan 11 2021,821,1689,1190
Iowa,Jan 10 2021,1127,1728,926
Iowa,Jan  9 2021,1345,1717,907
Iowa,Jan  8 2021,2255,1620,813
Iowa,Jan  7 2021,1821,1583,471
Iowa,Jan  6 2021,2626,1567,297
Iowa,Jan  5 2021,1830,1437,191
Iowa,Jan  4 2021,1098,1370,8
Iowa,Jan  3 2021,1048,1342,4
Iowa,Jan  2 2021,666,1274,4
Iowa,Jan  1 2021,1995,1235,4
Iowa,Dec 31 2020,1710,1118,3
Iowa,Dec 30 2020,1712,1093,3
Iowa,Dec 29 2020,1364,1148,3
Iowa,Dec 28 2020,901,1108,0
Iowa,Dec 27 2020,576,1104,0
Iowa,Dec 26 2020,393,1167,0
Iowa,Dec 25 2020,1174,1322,0
Iowa,Dec 24 2020,1531,1468,1
Iowa,Dec 23 2020,2098,1504,0
Iowa,Dec 22 2020,1083,1515,1
Iowa,Dec 21 2020,878,1542,1
Iowa,Dec 20 2020,1013,1555,1
Iowa,Dec 19 2020,1478,1570,1
Iowa,Dec 18 2020,2200,1593,1
Iowa,Dec 17 2020,1779,1596,1
Iowa,Dec 16 2020,2180,1643,1
Iowa,Dec 15 2020,1267,1684,1
Iowa,Dec 14 2020,973,1721,2
Iowa,Dec 13 2020,1119,1719,5
Iowa,Dec 12 2020,1639,1861,N/A
Iowa,Dec 11 2020,2215,1897,N/A
Iowa,Dec 10 2020,2110,1671,N/A
Iowa,Dec  9 2020,2465,2066,N/A
Iowa,Dec  8 2020,1526,2196,N/A
Iowa,Dec  7 2020,963,2262,N/A
Iowa,Dec  6 2020,2110,2337,N/A
Iowa,Dec  5 2020,1891,2279,N/A
Iowa,Dec  4 2020,634,2295,N/A
Iowa,Dec  3 2020,4877,2412,N/A
Iowa,Dec  2 2020,3371,2171,N/A
Iowa,Dec  1 2020,1991,2188,N/A
Iowa,Nov 30 2020,1485,2317,N/A
Iowa,Nov 29 2020,1705,2492,N/A
Iowa,Nov 28 2020,2002,2654,N/A
Iowa,Nov 27 2020,1459,2897,N/A
Iowa,Nov 26 2020,3188,3300,N/A
Iowa,Nov 25 2020,3492,3438,N/A
Iowa,Nov 24 2020,2894,3529,N/A
Iowa,Nov 23 2020,2709,3549,N/A
Iowa,Nov 22 2020,2839,3622,N/A
Iowa,Nov 21 2020,3700,3763,N/A
Iowa,Nov 20 2020,4284,3897,N/A
Iowa,Nov 19 2020,4149,4064,N/A
Iowa,Nov 18 2020,4129,4100,N/A
Iowa,Nov 17 2020,3035,4230,N/A
Iowa,Nov 16 2020,3222,4353,N/A
Iowa,Nov 15 2020,3824,4622,N/A
Iowa,Nov 14 2020,4637,4579,N/A
Iowa,Nov 13 2020,5452,4568,N/A
Iowa,Nov 12 2020,4402,4267,N/A
Iowa,Nov 11 2020,5038,4331,N/A
Iowa,Nov 10 2020,3899,4005,N/A
Iowa,Nov  9 2020,5102,3683,N/A
Iowa,Nov  8 2020,3529,3205,N/A
Iowa,Nov  7 2020,4559,3043,N/A
Iowa,Nov  6 2020,3341,2812,N/A
Iowa,Nov  5 2020,4851,2716,N/A
Iowa,Nov  4 2020,2760,2370,N/A
Iowa,Nov  3 2020,1639,2282,N/A
Iowa,Nov  2 2020,1762,2202,N/A
Iowa,Nov  1 2020,2395,2073,N/A
Iowa,Oct 31 2020,2941,1905,N/A
Iowa,Oct 30 2020,2670,1732,N/A
Iowa,Oct 29 2020,2423,1506,N/A
Iowa,Oct 28 2020,2150,1447,N/A
Iowa,Oct 27 2020,1079,1298,N/A
Iowa,Oct 26 2020,859,1279,N/A
Iowa,Oct 25 2020,1213,1246,N/A
Iowa,Oct 24 2020,1733,1195,N/A
Iowa,Oct 23 2020,1087,1132,N/A
Iowa,Oct 22 2020,2008,1167,N/A
Iowa,Oct 21 2020,1112,1051,N/A
Iowa,Oct 20 2020,946,1113,N/A
Iowa,Oct 19 2020,623,1078,N/A
Iowa,Oct 18 2020,859,1062,N/A
Iowa,Oct 17 2020,1291,1096,N/A
Iowa,Oct 16 2020,1334,1073,N/A
Iowa,Oct 15 2020,1193,1059,N/A
Iowa,Oct 14 2020,1550,1118,N/A
Iowa,Oct 13 2020,701,1047,N/A
Iowa,Oct 12 2020,509,1029,N/A
Iowa,Oct 11 2020,1094,1014,N/A
Iowa,Oct 10 2020,1134,946,N/A
Iowa,Oct  9 2020,1233,918,N/A
Iowa,Oct  8 2020,1609,887,N/A
Iowa,Oct  7 2020,1052,826,N/A
Iowa,Oct  6 2020,574,847,N/A
Iowa,Oct  5 2020,405,855,N/A
Iowa,Oct  4 2020,620,889,N/A
Iowa,Oct  3 2020,939,910,N/A
Iowa,Oct  2 2020,1016,905,N/A
Iowa,Oct  1 2020,1179,918,N/A
Iowa,Sep 30 2020,1199,924,N/A
Iowa,Sep 29 2020,632,904,N/A
Iowa,Sep 28 2020,642,894,N/A
Iowa,Sep 27 2020,769,901,N/A
Iowa,Sep 26 2020,903,886,N/A
Iowa,Sep 25 2020,1103,875,N/A
Iowa,Sep 24 2020,1225,895,N/A
Iowa,Sep 23 2020,1056,811,N/A
Iowa,Sep 22 2020,561,844,N/A
Iowa,Sep 21 2020,692,829,N/A
Iowa,Sep 20 2020,664,791,N/A
Iowa,Sep 19 2020,828,812,N/A
Iowa,Sep 18 2020,1241,783,N/A
Iowa,Sep 17 2020,636,720,N/A
Iowa,Sep 16 2020,1290,773,N/A
Iowa,Sep 15 2020,454,646,N/A
Iowa,Sep 14 2020,429,647,N/A
Iowa,Sep 13 2020,809,642,N/A
Iowa,Sep 12 2020,627,635,N/A
Iowa,Sep 11 2020,795,687,N/A
Iowa,Sep 10 2020,1010,732,N/A
Iowa,Sep  9 2020,400,714,N/A
Iowa,Sep  8 2020,462,773,N/A
Iowa,Sep  7 2020,393,797,N/A
Iowa,Sep  6 2020,763,828,N/A
Iowa,Sep  5 2020,991,864,N/A
Iowa,Sep  4 2020,1105,775,N/A
Iowa,Sep  3 2020,885,809,N/A
Iowa,Sep  2 2020,818,1150,N/A
Iowa,Sep  1 2020,625,1164,N/A
Iowa,Aug 31 2020,615,1170,N/A
Iowa,Aug 30 2020,1009,1133,N/A
Iowa,Aug 29 2020,371,1066,N/A
Iowa,Aug 28 2020,1344,1117,N/A
Iowa,Aug 27 2020,3269,993,N/A
Iowa,Aug 26 2020,921,705,N/A
Iowa,Aug 25 2020,663,617,N/A
Iowa,Aug 24 2020,356,543,N/A
Iowa,Aug 23 2020,540,548,N/A
Iowa,Aug 22 2020,729,563,N/A
Iowa,Aug 21 2020,473,581,N/A
Iowa,Aug 20 2020,1253,599,N/A
Iowa,Aug 19 2020,311,496,N/A
Iowa,Aug 18 2020,140,520,N/A
Iowa,Aug 17 2020,396,536,N/A
Iowa,Aug 16 2020,640,520,N/A
Iowa,Aug 15 2020,858,501,N/A
Iowa,Aug 14 2020,599,438,N/A
Iowa,Aug 13 2020,530,424,N/A
Iowa,Aug 12 2020,477,449,N/A
Iowa,Aug 11 2020,255,469,N/A
Iowa,Aug 10 2020,285,461,N/A
Iowa,Aug  9 2020,503,471,N/A
Iowa,Aug  8 2020,421,472,N/A
Iowa,Aug  7 2020,503,469,N/A
Iowa,Aug  6 2020,703,474,N/A
Iowa,Aug  5 2020,614,482,N/A
Iowa,Aug  4 2020,200,466,N/A
Iowa,Aug  3 2020,353,470,N/A
Iowa,Aug  2 2020,511,470,N/A
Iowa,Aug  1 2020,399,472,N/A
Iowa,Jul 31 2020,543,473,N/A
Iowa,Jul 30 2020,759,486,N/A
Iowa,Jul 29 2020,498,468,N/A
Iowa,Jul 28 2020,228,472,N/A
