Data Table for Daily Case Trends - Louisiana
Date generated: Tue Nov 16 2021 20:15:36 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,7-Day Avg People Fully Vaccinated
Louisiana,Nov 15 2021,942,376,1262
Louisiana,Nov 14 2021,0,357,1557
Louisiana,Nov 13 2021,0,357,1641
Louisiana,Nov 12 2021,726,357,1694
Louisiana,Nov 11 2021,0,331,1770
Louisiana,Nov 10 2021,495,419,1833
Louisiana,Nov  9 2021,474,412,1782
Louisiana,Nov  8 2021,810,379,1795
Louisiana,Nov  7 2021,0,482,1791
Louisiana,Nov  6 2021,0,482,1769
Louisiana,Nov  5 2021,538,482,1675
Louisiana,Nov  4 2021,620,440,1636
Louisiana,Nov  3 2021,445,421,1726
Louisiana,Nov  2 2021,246,468,1849
Louisiana,Nov  1 2021,1529,498,1938
Louisiana,Oct 31 2021,0,405,2003
Louisiana,Oct 30 2021,0,405,2027
Louisiana,Oct 29 2021,241,405,2132
Louisiana,Oct 28 2021,491,468,2297
Louisiana,Oct 27 2021,770,530,2311
Louisiana,Oct 26 2021,460,491,2314
Louisiana,Oct 25 2021,878,508,2276
Louisiana,Oct 24 2021,0,434,2269
Louisiana,Oct 23 2021,0,485,2282
Louisiana,Oct 22 2021,681,536,2304
Louisiana,Oct 21 2021,923,519,2314
Louisiana,Oct 20 2021,495,507,2357
Louisiana,Oct 19 2021,581,515,2414
Louisiana,Oct 18 2021,361,594,2507
Louisiana,Oct 17 2021,358,612,2576
Louisiana,Oct 16 2021,358,630,2582
Louisiana,Oct 15 2021,559,649,2611
Louisiana,Oct 14 2021,842,681,2741
Louisiana,Oct 13 2021,551,700,2825
Louisiana,Oct 12 2021,1129,753,2882
Louisiana,Oct 11 2021,490,737,2942
Louisiana,Oct 10 2021,487,749,2983
Louisiana,Oct  9 2021,487,762,3021
Louisiana,Oct  8 2021,787,774,3099
Louisiana,Oct  7 2021,971,858,3196
Louisiana,Oct  6 2021,920,844,3308
Louisiana,Oct  5 2021,1020,862,3427
Louisiana,Oct  4 2021,575,864,3532
Louisiana,Oct  3 2021,575,928,3546
Louisiana,Oct  2 2021,575,991,3605
Louisiana,Oct  1 2021,1373,1054,3707
Louisiana,Sep 30 2021,872,1001,3861
Louisiana,Sep 29 2021,1048,1093,4003
Louisiana,Sep 28 2021,1031,1216,4177
Louisiana,Sep 27 2021,1022,1250,4439
Louisiana,Sep 26 2021,1018,1256,4754
Louisiana,Sep 25 2021,1018,1263,4768
Louisiana,Sep 24 2021,1002,1269,4921
Louisiana,Sep 23 2021,1517,1437,5504
Louisiana,Sep 22 2021,1906,1458,5995
Louisiana,Sep 21 2021,1268,1525,6339
Louisiana,Sep 20 2021,1066,1658,6570
Louisiana,Sep 19 2021,1064,1727,6895
Louisiana,Sep 18 2021,1064,1796,6946
Louisiana,Sep 17 2021,2179,1866,6932
Louisiana,Sep 16 2021,1663,1865,6963
Louisiana,Sep 15 2021,2371,2328,6872
Louisiana,Sep 14 2021,2200,2427,6917
Louisiana,Sep 13 2021,1550,2311,7020
Louisiana,Sep 12 2021,1550,2287,6127
Louisiana,Sep 11 2021,1550,2263,6086
Louisiana,Sep 10 2021,2173,2239,5954
Louisiana,Sep  9 2021,4903,2303,5562
Louisiana,Sep  8 2021,3066,1903,5281
Louisiana,Sep  7 2021,1386,1818,5106
Louisiana,Sep  6 2021,1382,1974,4806
Louisiana,Sep  5 2021,1382,2130,5089
Louisiana,Sep  4 2021,1382,2287,4991
Louisiana,Sep  3 2021,2625,2443,5196
Louisiana,Sep  2 2021,2099,2558,6173
Louisiana,Sep  1 2021,2476,2991,7037
Louisiana,Aug 31 2021,2476,3583,7813
Louisiana,Aug 30 2021,2476,3774,8654
Louisiana,Aug 29 2021,2476,3939,9587
Louisiana,Aug 28 2021,2476,4104,10021
Louisiana,Aug 27 2021,3428,4268,10478
Louisiana,Aug 26 2021,5131,4625,10324
Louisiana,Aug 25 2021,6619,4684,10187
Louisiana,Aug 24 2021,3814,4683,10001
Louisiana,Aug 23 2021,3631,4665,9702
Louisiana,Aug 22 2021,3629,4783,9529
Louisiana,Aug 21 2021,3629,4901,9404
Louisiana,Aug 20 2021,5922,5019,9063
Louisiana,Aug 19 2021,5550,5252,8561
Louisiana,Aug 18 2021,6606,5214,8009
Louisiana,Aug 17 2021,3691,5043,7381
Louisiana,Aug 16 2021,4458,5385,6783
Louisiana,Aug 15 2021,4456,5537,6294
Louisiana,Aug 14 2021,4456,5688,6106
Louisiana,Aug 13 2021,7548,5839,5801
Louisiana,Aug 12 2021,5287,5634,5239
Louisiana,Aug 11 2021,5407,5660,4796
Louisiana,Aug 10 2021,6088,5570,4465
Louisiana,Aug  9 2021,5517,5379,4179
Louisiana,Aug  8 2021,5513,5120,3874
Louisiana,Aug  7 2021,5513,4862,3755
Louisiana,Aug  6 2021,6116,4603,3598
Louisiana,Aug  5 2021,5468,4488,3358
Louisiana,Aug  4 2021,4779,4338,3223
Louisiana,Aug  3 2021,4753,4326,3147
Louisiana,Aug  2 2021,3704,4621,3119
Louisiana,Aug  1 2021,3702,4454,3043
Louisiana,Jul 31 2021,3702,4286,2982
Louisiana,Jul 30 2021,5313,4119,2942
Louisiana,Jul 29 2021,4414,3807,2902
Louisiana,Jul 28 2021,4699,3581,2836
Louisiana,Jul 27 2021,6818,3679,2747
Louisiana,Jul 26 2021,2532,2929,2667
Louisiana,Jul 25 2021,2530,2757,2692
Louisiana,Jul 24 2021,2530,2585,2724
Louisiana,Jul 23 2021,3127,2414,2725
Louisiana,Jul 22 2021,2834,2196,2623
Louisiana,Jul 21 2021,5388,2006,2530
Louisiana,Jul 20 2021,1562,1512,2473
Louisiana,Jul 19 2021,1331,1425,2438
Louisiana,Jul 18 2021,1328,1349,2400
Louisiana,Jul 17 2021,1328,1274,2405
Louisiana,Jul 16 2021,1605,1198,2363
Louisiana,Jul 15 2021,1500,1107,2426
Louisiana,Jul 14 2021,1936,1005,2545
Louisiana,Jul 13 2021,953,903,2664
Louisiana,Jul 12 2021,799,840,2756
Louisiana,Jul 11 2021,797,798,2689
Louisiana,Jul 10 2021,797,756,2594
Louisiana,Jul  9 2021,969,714,2601
Louisiana,Jul  8 2021,786,650,2599
Louisiana,Jul  7 2021,1226,619,2664
Louisiana,Jul  6 2021,508,528,2722
Louisiana,Jul  5 2021,503,515,2761
Louisiana,Jul  4 2021,503,488,2885
Louisiana,Jul  3 2021,503,461,3028
Louisiana,Jul  2 2021,525,434,3138
Louisiana,Jul  1 2021,568,389,3273
Louisiana,Jun 30 2021,591,360,3066
Louisiana,Jun 29 2021,413,344,2958
Louisiana,Jun 28 2021,316,332,3072
Louisiana,Jun 27 2021,313,319,3046
Louisiana,Jun 26 2021,313,307,3028
Louisiana,Jun 25 2021,210,295,3033
Louisiana,Jun 24 2021,365,312,3067
Louisiana,Jun 23 2021,482,307,3477
Louisiana,Jun 22 2021,325,285,3780
Louisiana,Jun 21 2021,230,318,3876
Louisiana,Jun 20 2021,228,312,4181
Louisiana,Jun 19 2021,228,306,4253
Louisiana,Jun 18 2021,326,299,4427
Louisiana,Jun 17 2021,335,285,4575
Louisiana,Jun 16 2021,325,305,4652
Louisiana,Jun 15 2021,559,303,4697
Louisiana,Jun 14 2021,186,238,4754
Louisiana,Jun 13 2021,184,249,4785
Louisiana,Jun 12 2021,184,261,4837
Louisiana,Jun 11 2021,228,272,4864
Louisiana,Jun 10 2021,473,292,4988
Louisiana,Jun  9 2021,310,269,5133
Louisiana,Jun  8 2021,102,316,5151
Louisiana,Jun  7 2021,268,337,5149
Louisiana,Jun  6 2021,264,333,4588
Louisiana,Jun  5 2021,264,330,4477
Louisiana,Jun  4 2021,364,328,4269
Louisiana,Jun  3 2021,313,326,4103
Louisiana,Jun  2 2021,641,348,4012
Louisiana,Jun  1 2021,246,316,4044
Louisiana,May 31 2021,244,430,4069
Louisiana,May 30 2021,244,424,4611
Louisiana,May 29 2021,244,417,4662
Louisiana,May 28 2021,354,410,4857
Louisiana,May 27 2021,467,408,5097
Louisiana,May 26 2021,419,401,5228
Louisiana,May 25 2021,1043,429,5545
Louisiana,May 24 2021,197,350,5603
Louisiana,May 23 2021,195,376,5636
Louisiana,May 22 2021,195,401,5617
Louisiana,May 21 2021,340,426,5569
Louisiana,May 20 2021,420,437,5653
Louisiana,May 19 2021,615,436,5690
Louisiana,May 18 2021,494,417,5658
Louisiana,May 17 2021,373,439,5840
Louisiana,May 16 2021,370,438,5982
Louisiana,May 15 2021,370,438,5955
Louisiana,May 14 2021,421,437,6007
Louisiana,May 13 2021,415,457,6286
Louisiana,May 12 2021,480,456,6850
Louisiana,May 11 2021,649,454,7234
Louisiana,May 10 2021,367,504,7736
Louisiana,May  9 2021,364,487,8194
Louisiana,May  8 2021,364,471,8337
Louisiana,May  7 2021,563,456,8438
Louisiana,May  6 2021,407,473,8735
Louisiana,May  5 2021,466,496,9393
Louisiana,May  4 2021,997,493,10739
Louisiana,May  3 2021,253,415,11249
Louisiana,May  2 2021,253,421,11518
Louisiana,May  1 2021,253,428,11590
Louisiana,Apr 30 2021,685,434,11923
Louisiana,Apr 29 2021,570,413,12397
Louisiana,Apr 28 2021,442,421,12615
Louisiana,Apr 27 2021,452,453,12560
Louisiana,Apr 26 2021,297,440,13239
Louisiana,Apr 25 2021,297,464,13827
