Data Table for Daily Case Trends - Maine
Date generated: Tue Nov 16 2021 20:15:43 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,7-Day Avg People Fully Vaccinated
Maine,Nov 15 2021,942,482,527
Maine,Nov 14 2021,0,481,621
Maine,Nov 13 2021,799,481,642
Maine,Nov 12 2021,2,372,662
Maine,Nov 11 2021,752,467,682
Maine,Nov 10 2021,1,446,712
Maine,Nov  9 2021,881,638,712
Maine,Nov  8 2021,938,513,721
Maine,Nov  7 2021,0,501,739
Maine,Nov  6 2021,35,501,735
Maine,Nov  5 2021,663,580,727
Maine,Nov  4 2021,605,486,728
Maine,Nov  3 2021,1348,490,731
Maine,Nov  2 2021,4,379,745
Maine,Nov  1 2021,858,467,753
Maine,Oct 31 2021,0,470,747
Maine,Oct 30 2021,588,470,752
Maine,Oct 29 2021,5,400,756
Maine,Oct 28 2021,630,469,733
Maine,Oct 27 2021,572,461,707
Maine,Oct 26 2021,616,458,681
Maine,Oct 25 2021,881,463,667
Maine,Oct 24 2021,0,400,675
Maine,Oct 23 2021,98,463,685
Maine,Oct 22 2021,488,456,713
Maine,Oct 21 2021,575,457,796
Maine,Oct 20 2021,554,453,830
Maine,Oct 19 2021,648,489,853
Maine,Oct 18 2021,440,523,887
Maine,Oct 17 2021,439,460,901
Maine,Oct 16 2021,48,397,906
Maine,Oct 15 2021,496,400,902
Maine,Oct 14 2021,551,406,896
Maine,Oct 13 2021,802,393,911
Maine,Oct 12 2021,888,453,929
Maine,Oct 11 2021,0,369,941
Maine,Oct 10 2021,0,433,952
Maine,Oct  9 2021,64,497,978
Maine,Oct  8 2021,537,498,960
Maine,Oct  7 2021,466,517,832
Maine,Oct  6 2021,1217,556,752
Maine,Oct  5 2021,299,514,691
Maine,Oct  4 2021,449,595,624
Maine,Oct  3 2021,448,603,592
Maine,Oct  2 2021,70,611,577
Maine,Oct  1 2021,671,604,611
Maine,Sep 30 2021,738,591,765
Maine,Sep 29 2021,925,588,840
Maine,Sep 28 2021,867,558,913
Maine,Sep 27 2021,505,522,998
Maine,Sep 26 2021,503,480,1070
Maine,Sep 25 2021,19,437,1084
Maine,Sep 24 2021,584,464,1109
Maine,Sep 23 2021,714,475,1235
Maine,Sep 22 2021,716,466,1324
Maine,Sep 21 2021,614,457,1381
Maine,Sep 20 2021,210,480,1425
Maine,Sep 19 2021,208,498,1428
Maine,Sep 18 2021,208,516,1425
Maine,Sep 17 2021,655,487,1410
Maine,Sep 16 2021,654,476,1320
Maine,Sep 15 2021,652,543,1276
Maine,Sep 14 2021,778,450,1228
Maine,Sep 13 2021,334,443,1198
Maine,Sep 12 2021,333,396,1065
Maine,Sep 11 2021,7,348,1055
Maine,Sep 10 2021,574,349,1032
Maine,Sep  9 2021,1126,335,992
Maine,Sep  8 2021,1,270,959
Maine,Sep  7 2021,729,359,942
Maine,Sep  6 2021,2,316,915
Maine,Sep  5 2021,2,350,1043
Maine,Sep  4 2021,10,384,1046
Maine,Sep  3 2021,481,389,1066
Maine,Sep  2 2021,665,373,1067
Maine,Sep  1 2021,624,316,1077
Maine,Aug 31 2021,432,282,1099
Maine,Aug 30 2021,238,262,1097
Maine,Aug 29 2021,238,254,1078
Maine,Aug 28 2021,47,246,1068
Maine,Aug 27 2021,368,240,1044
Maine,Aug 26 2021,267,215,1016
Maine,Aug 25 2021,390,204,1003
Maine,Aug 24 2021,287,174,970
Maine,Aug 23 2021,182,160,949
Maine,Aug 22 2021,181,153,943
Maine,Aug 21 2021,6,144,934
Maine,Aug 20 2021,192,161,921
Maine,Aug 19 2021,192,161,876
Maine,Aug 18 2021,182,164,831
Maine,Aug 17 2021,191,172,814
Maine,Aug 16 2021,127,175,785
Maine,Aug 15 2021,124,183,753
Maine,Aug 14 2021,124,191,742
Maine,Aug 13 2021,189,173,731
Maine,Aug 12 2021,213,170,688
Maine,Aug 11 2021,236,160,666
Maine,Aug 10 2021,217,146,639
Maine,Aug  9 2021,181,135,617
Maine,Aug  8 2021,179,127,586
Maine,Aug  7 2021,2,120,579
Maine,Aug  6 2021,163,120,581
Maine,Aug  5 2021,144,109,603
Maine,Aug  4 2021,140,105,630
Maine,Aug  3 2021,139,102,625
Maine,Aug  2 2021,128,91,629
Maine,Aug  1 2021,127,85,640
Maine,Jul 31 2021,4,79,635
Maine,Jul 30 2021,87,79,626
Maine,Jul 29 2021,111,77,628
