Data Table for Daily Case Trends - Mississippi
Date generated: Tue Nov 16 2021 20:15:53 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,7-Day Avg People Fully Vaccinated
Mississippi,Nov 15 2021,806,308,724
Mississippi,Nov 14 2021,0,273,891
Mississippi,Nov 13 2021,0,273,943
Mississippi,Nov 12 2021,694,273,985
Mississippi,Nov 11 2021,0,247,1039
Mississippi,Nov 10 2021,299,302,1100
Mississippi,Nov  9 2021,360,315,1125
Mississippi,Nov  8 2021,560,329,1147
Mississippi,Nov  7 2021,0,319,1187
Mississippi,Nov  6 2021,0,319,1184
Mississippi,Nov  5 2021,514,319,1180
Mississippi,Nov  4 2021,381,290,1202
Mississippi,Nov  3 2021,395,285,1247
Mississippi,Nov  2 2021,455,277,1295
Mississippi,Nov  1 2021,493,451,1345
Mississippi,Oct 31 2021,0,460,1389
Mississippi,Oct 30 2021,0,460,1409
Mississippi,Oct 29 2021,309,460,1416
Mississippi,Oct 28 2021,343,471,1434
Mississippi,Oct 27 2021,344,482,1444
Mississippi,Oct 26 2021,1670,433,1443
Mississippi,Oct 25 2021,555,259,1416
Mississippi,Oct 24 2021,0,362,1420
Mississippi,Oct 23 2021,0,399,1407
Mississippi,Oct 22 2021,389,435,1422
Mississippi,Oct 21 2021,422,416,1458
Mississippi,Oct 20 2021,0,415,1474
Mississippi,Oct 19 2021,448,490,1508
Mississippi,Oct 18 2021,1278,529,1592
Mississippi,Oct 17 2021,258,464,1625
Mississippi,Oct 16 2021,256,477,1645
Mississippi,Oct 15 2021,256,489,1676
Mississippi,Oct 14 2021,411,502,1775
Mississippi,Oct 13 2021,528,529,1865
Mississippi,Oct 12 2021,719,613,1948
Mississippi,Oct 11 2021,820,629,1986
Mississippi,Oct 10 2021,349,647,2008
Mississippi,Oct  9 2021,346,672,2049
Mississippi,Oct  8 2021,346,697,2118
Mississippi,Oct  7 2021,601,722,2212
Mississippi,Oct  6 2021,1112,753,2325
