Data Table for Daily Case Trends - Pennsylvania
Date generated: Tue Nov 16 2021 20:05:11 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,7-Day Avg People Fully Vaccinated
Pennsylvania,Nov 14 2021,4752,4868,4078
Pennsylvania,Nov 13 2021,5938,4714,4436
Pennsylvania,Nov 12 2021,5555,4532,4822
Pennsylvania,Nov 11 2021,5293,4471,5283
Pennsylvania,Nov 10 2021,5269,4453,5687
Pennsylvania,Nov  9 2021,4021,4245,6055
Pennsylvania,Nov  8 2021,3254,4194,6279
Pennsylvania,Nov  7 2021,3672,4124,6492
Pennsylvania,Nov  6 2021,4663,4044,6522
Pennsylvania,Nov  5 2021,5130,4002,6570
Pennsylvania,Nov  4 2021,5162,3913,6663
Pennsylvania,Nov  3 2021,3819,3791,6736
Pennsylvania,Nov  2 2021,3662,3843,6785
Pennsylvania,Nov  1 2021,2764,3854,6872
Pennsylvania,Oct 31 2021,3114,3806,6899
Pennsylvania,Oct 30 2021,4366,3849,6941
Pennsylvania,Oct 29 2021,4506,3878,6985
Pennsylvania,Oct 28 2021,4312,3877,6860
Pennsylvania,Oct 27 2021,4178,3975,6654
Pennsylvania,Oct 26 2021,3742,3890,6482
Pennsylvania,Oct 25 2021,2425,3912,6297
Pennsylvania,Oct 24 2021,3414,3980,6150
Pennsylvania,Oct 23 2021,4573,4039,6086
Pennsylvania,Oct 22 2021,4496,4026,6055
Pennsylvania,Oct 21 2021,4998,4202,6128
Pennsylvania,Oct 20 2021,3584,4238,6208
Pennsylvania,Oct 19 2021,3899,4442,6334
Pennsylvania,Oct 18 2021,2902,4442,6504
Pennsylvania,Oct 17 2021,3821,4438,6550
Pennsylvania,Oct 16 2021,4485,4450,6642
Pennsylvania,Oct 15 2021,5725,4611,6752
Pennsylvania,Oct 14 2021,5253,4590,6906
Pennsylvania,Oct 13 2021,5012,4671,7046
Pennsylvania,Oct 12 2021,3898,4678,7155
Pennsylvania,Oct 11 2021,2872,4695,7257
Pennsylvania,Oct 10 2021,3907,4913,7363
Pennsylvania,Oct  9 2021,5610,5253,7432
Pennsylvania,Oct  8 2021,5583,4936,7535
Pennsylvania,Oct  7 2021,5819,4903,7732
Pennsylvania,Oct  6 2021,5058,4771,7860
Pennsylvania,Oct  5 2021,4019,4701,7957
Pennsylvania,Oct  4 2021,4395,4902,7931
Pennsylvania,Oct  3 2021,6289,4704,7594
Pennsylvania,Oct  2 2021,3392,4413,7607
Pennsylvania,Oct  1 2021,5352,4638,7581
Pennsylvania,Sep 30 2021,4892,4597,7496
Pennsylvania,Sep 29 2021,4570,4683,7361
Pennsylvania,Sep 28 2021,5429,4658,7295
Pennsylvania,Sep 27 2021,3010,4588,7398
Pennsylvania,Sep 26 2021,4247,4525,7881
Pennsylvania,Sep 25 2021,4966,4561,8022
Pennsylvania,Sep 24 2021,5071,4654,8332
Pennsylvania,Sep 23 2021,5489,4672,8677
Pennsylvania,Sep 22 2021,4394,4714,9010
Pennsylvania,Sep 21 2021,4939,4774,9340
Pennsylvania,Sep 20 2021,2569,4602,9605
Pennsylvania,Sep 19 2021,4500,4685,9889
Pennsylvania,Sep 18 2021,5617,4631,9895
Pennsylvania,Sep 17 2021,5198,4562,9874
Pennsylvania,Sep 16 2021,5786,4534,9855
Pennsylvania,Sep 15 2021,4812,4307,9826
Pennsylvania,Sep 14 2021,3732,4247,9888
Pennsylvania,Sep 13 2021,3150,4076,10151
Pennsylvania,Sep 12 2021,4125,3984,9117
Pennsylvania,Sep 11 2021,5131,3848,9137
Pennsylvania,Sep 10 2021,5005,3798,9103
Pennsylvania,Sep  9 2021,4197,3574,9116
Pennsylvania,Sep  8 2021,4391,3663,9126
Pennsylvania,Sep  7 2021,2536,3478,8999
Pennsylvania,Sep  6 2021,2503,3580,8858
Pennsylvania,Sep  5 2021,3176,3543,9955
Pennsylvania,Sep  4 2021,4783,3438,9965
Pennsylvania,Sep  3 2021,3438,3303,10147
Pennsylvania,Sep  2 2021,4816,3362,10259
Pennsylvania,Sep  1 2021,3100,3125,10340
Pennsylvania,Aug 31 2021,3249,3198,10463
Pennsylvania,Aug 30 2021,2240,3167,10444
Pennsylvania,Aug 29 2021,2442,3102,10403
Pennsylvania,Aug 28 2021,3842,3057,10342
Pennsylvania,Aug 27 2021,3845,2897,10154
Pennsylvania,Aug 26 2021,3162,2697,9950
Pennsylvania,Aug 25 2021,3612,2801,9791
Pennsylvania,Aug 24 2021,3026,2598,9848
Pennsylvania,Aug 23 2021,1787,2529,9858
Pennsylvania,Aug 22 2021,2125,2456,9748
Pennsylvania,Aug 21 2021,2727,2452,9666
Pennsylvania,Aug 20 2021,2446,2380,9587
Pennsylvania,Aug 19 2021,3889,2319,9419
Pennsylvania,Aug 18 2021,2186,2094,9304
Pennsylvania,Aug 17 2021,2544,2046,8983
Pennsylvania,Aug 16 2021,1279,1982,8735
Pennsylvania,Aug 15 2021,2098,1956,8493
Pennsylvania,Aug 14 2021,2223,1834,8371
Pennsylvania,Aug 13 2021,2020,1753,8132
Pennsylvania,Aug 12 2021,2311,1709,7987
Pennsylvania,Aug 11 2021,1848,1636,7999
Pennsylvania,Aug 10 2021,2099,1572,7865
Pennsylvania,Aug  9 2021,1097,1495,7623
Pennsylvania,Aug  8 2021,1240,1462,7356
Pennsylvania,Aug  7 2021,1661,1425,7274
Pennsylvania,Aug  6 2021,1711,1350,7272
Pennsylvania,Aug  5 2021,1800,1248,7071
Pennsylvania,Aug  4 2021,1397,1143,6827
Pennsylvania,Aug  3 2021,1562,1052,6814
Pennsylvania,Aug  2 2021,866,974,6804
Pennsylvania,Aug  1 2021,978,910,6704
Pennsylvania,Jul 31 2021,1142,852,6572
Pennsylvania,Jul 30 2021,992,781,6545
Pennsylvania,Jul 29 2021,1064,730,6641
Pennsylvania,Jul 28 2021,760,658,6780
Pennsylvania,Jul 27 2021,1021,626,6850
Pennsylvania,Jul 26 2021,413,566,6987
Pennsylvania,Jul 25 2021,573,538,7168
Pennsylvania,Jul 24 2021,646,505,7267
Pennsylvania,Jul 23 2021,635,471,7454
Pennsylvania,Jul 22 2021,559,440,7567
Pennsylvania,Jul 21 2021,541,420,7553
Pennsylvania,Jul 20 2021,597,386,7718
Pennsylvania,Jul 19 2021,220,349,7884
Pennsylvania,Jul 18 2021,337,336,8027
Pennsylvania,Jul 17 2021,414,315,8152
Pennsylvania,Jul 16 2021,418,292,8336
Pennsylvania,Jul 15 2021,418,265,8624
Pennsylvania,Jul 14 2021,304,239,8883
Pennsylvania,Jul 13 2021,336,222,9125
Pennsylvania,Jul 12 2021,130,188,9175
Pennsylvania,Jul 11 2021,191,186,8851
Pennsylvania,Jul 10 2021,252,179,8525
Pennsylvania,Jul  9 2021,228,174,8368
Pennsylvania,Jul  8 2021,237,165,8378
Pennsylvania,Jul  7 2021,184,156,8670
Pennsylvania,Jul  6 2021,96,154,8982
Pennsylvania,Jul  5 2021,120,168,9574
Pennsylvania,Jul  4 2021,136,162,10135
Pennsylvania,Jul  3 2021,217,162,10413
Pennsylvania,Jul  2 2021,165,158,11045
Pennsylvania,Jul  1 2021,176,163,11704
Pennsylvania,Jun 30 2021,173,166,12314
Pennsylvania,Jun 29 2021,189,173,12837
Pennsylvania,Jun 28 2021,82,182,13481
Pennsylvania,Jun 27 2021,133,186,13362
Pennsylvania,Jun 26 2021,190,183,13646
Pennsylvania,Jun 25 2021,198,188,14197
Pennsylvania,Jun 24 2021,200,201,15250
Pennsylvania,Jun 23 2021,224,216,16087
Pennsylvania,Jun 22 2021,250,219,17412
Pennsylvania,Jun 21 2021,107,236,18780
Pennsylvania,Jun 20 2021,117,241,20603
Pennsylvania,Jun 19 2021,225,251,21280
Pennsylvania,Jun 18 2021,289,268,23006
Pennsylvania,Jun 17 2021,305,285,24694
Pennsylvania,Jun 16 2021,243,307,26539
Pennsylvania,Jun 15 2021,371,320,28095
Pennsylvania,Jun 14 2021,140,350,29377
Pennsylvania,Jun 13 2021,187,362,30420
Pennsylvania,Jun 12 2021,347,386,30445
Pennsylvania,Jun 11 2021,402,422,31216
Pennsylvania,Jun 10 2021,460,469,32130
Pennsylvania,Jun  9 2021,333,485,32684
Pennsylvania,Jun  8 2021,582,540,31960
Pennsylvania,Jun  7 2021,224,524,31719
Pennsylvania,Jun  6 2021,354,547,28010
Pennsylvania,Jun  5 2021,600,565,27401
Pennsylvania,Jun  4 2021,734,591,25715
Pennsylvania,Jun  3 2021,572,627,24648
Pennsylvania,Jun  2 2021,718,679,24411
Pennsylvania,Jun  1 2021,471,724,25378
Pennsylvania,May 31 2021,381,822,25938
Pennsylvania,May 30 2021,485,855,30522
Pennsylvania,May 29 2021,782,920,31804
Pennsylvania,May 28 2021,980,1000,34233
Pennsylvania,May 27 2021,937,1142,37403
Pennsylvania,May 26 2021,1037,1207,40250
Pennsylvania,May 25 2021,1155,1230,42607
Pennsylvania,May 24 2021,613,1338,44238
Pennsylvania,May 23 2021,938,1364,45829
Pennsylvania,May 22 2021,1344,1379,47554
Pennsylvania,May 21 2021,1971,1461,48573
Pennsylvania,May 20 2021,1397,1436,49295
Pennsylvania,May 19 2021,1198,1530,49546
Pennsylvania,May 18 2021,1910,1653,49810
Pennsylvania,May 17 2021,793,1751,52226
Pennsylvania,May 16 2021,1041,1780,52710
Pennsylvania,May 15 2021,1923,1813,51110
Pennsylvania,May 14 2021,1792,1906,52457
Pennsylvania,May 13 2021,2058,2080,53764
Pennsylvania,May 12 2021,2059,2130,56703
Pennsylvania,May 11 2021,2593,2226,59119
Pennsylvania,May 10 2021,996,2316,60265
Pennsylvania,May  9 2021,1271,2409,61375
Pennsylvania,May  8 2021,2578,2576,62382
Pennsylvania,May  7 2021,3011,2640,61921
Pennsylvania,May  6 2021,2408,2837,62326
Pennsylvania,May  5 2021,2729,3023,62288
Pennsylvania,May  4 2021,3220,3104,63167
Pennsylvania,May  3 2021,1646,3189,63050
Pennsylvania,May  2 2021,2440,3220,62073
Pennsylvania,May  1 2021,3030,3283,61364
Pennsylvania,Apr 30 2021,4392,3423,61776
Pennsylvania,Apr 29 2021,3705,3370,62610
Pennsylvania,Apr 28 2021,3301,3478,62613
Pennsylvania,Apr 27 2021,3811,3643,63104
Pennsylvania,Apr 26 2021,1865,3827,61918
Pennsylvania,Apr 25 2021,2880,3867,62474
Pennsylvania,Apr 24 2021,4009,3875,63600
Pennsylvania,Apr 23 2021,4025,4030,65262
Pennsylvania,Apr 22 2021,4458,4250,65777
Pennsylvania,Apr 21 2021,4459,4318,65502
Pennsylvania,Apr 20 2021,5098,4524,65033
Pennsylvania,Apr 19 2021,2142,4807,64427
Pennsylvania,Apr 18 2021,2938,4859,66978
Pennsylvania,Apr 17 2021,5096,4961,69989
Pennsylvania,Apr 16 2021,5564,4903,74419
Pennsylvania,Apr 15 2021,4934,4851,78119
Pennsylvania,Apr 14 2021,5897,4787,81242
Pennsylvania,Apr 13 2021,7083,4591,83372
Pennsylvania,Apr 12 2021,2507,4294,86718
Pennsylvania,Apr 11 2021,3647,4317,84848
Pennsylvania,Apr 10 2021,4690,4261,79973
Pennsylvania,Apr  9 2021,5203,4376,73904
Pennsylvania,Apr  8 2021,4482,4331,67602
Pennsylvania,Apr  7 2021,4526,4240,66169
Pennsylvania,Apr  6 2021,5008,4221,61542
Pennsylvania,Apr  5 2021,2666,4279,59517
Pennsylvania,Apr  4 2021,3254,4310,57916
Pennsylvania,Apr  3 2021,5494,4281,59649
Pennsylvania,Apr  2 2021,4893,4076,59099
Pennsylvania,Apr  1 2021,3839,4090,59773
Pennsylvania,Mar 31 2021,4393,4072,55814
Pennsylvania,Mar 30 2021,5416,4139,54806
Pennsylvania,Mar 29 2021,2885,3865,51658
Pennsylvania,Mar 28 2021,3049,3682,49716
Pennsylvania,Mar 27 2021,4062,3585,48636
Pennsylvania,Mar 26 2021,4989,3586,48272
Pennsylvania,Mar 25 2021,3710,3368,45814
Pennsylvania,Mar 24 2021,4866,3283,45395
Pennsylvania,Mar 23 2021,3498,3048,45708
Pennsylvania,Mar 22 2021,1605,2998,47117
Pennsylvania,Mar 21 2021,2366,2968,48820
Pennsylvania,Mar 20 2021,4072,2903,50723
Pennsylvania,Mar 19 2021,3463,2724,54654
Pennsylvania,Mar 18 2021,3115,2666,57468
Pennsylvania,Mar 17 2021,3220,2616,57276
Pennsylvania,Mar 16 2021,3145,2518,57099
Pennsylvania,Mar 15 2021,1395,2497,56602
Pennsylvania,Mar 14 2021,1912,2499,55898
Pennsylvania,Mar 13 2021,2821,2446,53629
Pennsylvania,Mar 12 2021,3056,2452,48787
Pennsylvania,Mar 11 2021,2765,2389,46287
Pennsylvania,Mar 10 2021,2534,2455,45316
Pennsylvania,Mar  9 2021,2999,2450,43308
Pennsylvania,Mar  8 2021,1412,2385,40842
Pennsylvania,Mar  7 2021,1538,2424,39684
